Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2000","2000","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2001","2001","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2002","2002","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2003","2003","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2004","2004","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2005","2005","1000 ha","570","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2006","2006","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2007","2007","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2008","2008","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2009","2009","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2010","2010","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2011","2011","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2012","2012","1000 ha","570","X","Figure from external organization",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2013","2013","1000 ha","600","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2014","2014","1000 ha","630","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2015","2015","1000 ha","630","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2016","2016","1000 ha","633","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2017","2017","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2018","2018","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2021","2021","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2022","2022","1000 ha","637","I","Value imputed by a receiving agency",""
"RL","Land Use","144","Sri Lanka","5110","Area","6690","Land area equipped for irrigation","2023","2023","1000 ha","637","I","Value imputed by a receiving agency",""
